,ts_code,exchange,chairman,manager,secretary,reg_capital,setup_date,province,city,website,email,employees
24,300670.SZ,SZSE,陈杰,曾治,王跃进,31589.0479,20111221,江苏,南京市,www.daybright.cn,tzzgx@dayedq.com;wangyj@dayedq.com,347
25,002796.SZ,SZSE,王娟,韩惠明,姚跃文,16829.1382,19900420,江苏,苏州市,www.sz-shijia.com,shijiagufen@shijiakj.com,1980
26,300403.SZ,SZSE,石华山,石华山,石胜美,60300,20021126,广东,江门市,www.idearhanyu.com,idearhanyu@oceanhanyu.com,1720
27,300735.SZ,SZSE,唐建兴,唐建兴,杨荣,46108.4,19950324,广东,惠州市,www.dbg.com.cn,ir@dbg.com.cn;gm-yyz@dbg.com.cn,6648
28,002662.SZ,SZSE,李璟瑜,李璟瑜,鲍丽娜,150000,20020703,北京,北京市,www.beijing-wkw.com,jingwei@beijing-wkw.com,10840
29,002802.SZ,SZSE,项洪伟,项洪伟,李专元,10834.65,20010328,江苏,无锡市,www.wuxihonghui.com,wxhhxcl@wuxihonghui.com;wen.zhou@wuxihonghui.com;zhuanyuan.li@wuxihonghui.com,302
30,300586.SZ,SZSE,黄伟汕,张朝益,段文勇,24000,20000620,广东,汕头市,www.malion.cn,mlxc@malion.cn;chenyj@malion.cn,263
31,300572.SZ,SZSE,贺宪宁,贺宪宁,李云彬,19364.9184,20060806,广东,深圳市,www.anche.cn,ir@anche.cn;anche@anche.cn;liyb@anche.cn;liyh@anche.cn,944
32,300217.SZ,SZSE,谭荣生,谭伟,孙汉武,127349.3706,20000202,江苏,镇江市,www.dongfang-heater.com,sunhw@dongfang-heater.com;lsd822@qq.com;dfzqb@dongfang-heater.com,3222
33,300287.SZ,SZSE,杨振华,杨振华,许莉,143527.3808,20021016,北京,北京市,www.philisense.com,phls@philisense.com,1553
34,300781.SZ,SZSE,王建朝,李明,王建朝,8454.142,20020909,广东,广州市,www.gdinsight.com,zqsw@gdinsight.com,477
35,002777.SZ,SZSE,连春华,连春华,杨成文,22430.2769,20081124,四川,成都市,www.yinhai.com,public@yinhai.com;yangchengwen@yinhai.com;youxin@yinhai.com,2848
36,300343.SZ,SZSE,王宪东,,李洪国,117570.8024,20030129,山东,淄博市,www.lecron.cn,lczq@lecron.cn,1018
37,300796.SZ,SZSE,陈峰,钟锡君,李晓博,12115,20030331,浙江,绍兴市,www.bsmchem.com,dongban@bsmchem.com,433
38,002880.SZ,SZSE,张战,张战,张信,10800,19860407,广东,深圳市,www.szwg.com,zhengquanbu@szwg.com,713
39,300426.SZ,SZSE,吴宏亮,吴宏亮,古元峰,42077.5,20061030,浙江,金华市,www.tangde.com.cn,guyuanfeng@tangde.com.cn;investor@tangde.com.cn;wangtingting@tangde.com.cn,343
40,300780.SZ,SZSE,雷永志,雷永志,谢龙德,14667,20031010,四川,眉山市,www.cpt-world.com,zhengquanbu@cpt-world.com;xielongde@cpt-world.com;renhuajun@cpt-world.com,1793
41,002761.SZ,SZSE,沈德法,沈德法,王莲军,34680,20061221,湖南,长沙市,www.dohia.com,dohiazq@dohia.com,1223
42,300779.SZ,SZSE,张新功,张新功,史惠芳,10000,20060227,山东,青岛市,www.hcpect.com,stock@hcpect.com,349
43,300457.SZ,SZSE,王维东,王维东,王晋,37600.347,20060626,广东,深圳市,www.yhwins.com,yinghekeji@yhwins.com;wangjin@yhwins.com;yuanling@yhwins.com,2497
44,002546.SZ,SZSE,胡敏,刘文娟,彭辉,83404.9096,20030925,江苏,南京市,www.xldz.com,ph@njxldz.com;luxiangrong@xldz.com,1083
45,300369.SZ,SZSE,沈继业,沈继业,赵晓凡,79811.7661,20000425,北京,北京市,www.nsfocus.com,webadmin@nsfocus.com;ir@nsfocus.com;zhaoxiaofan@nsfocus.com,2722
46,300718.SZ,SZSE,孙志华,陆晓林,周锦祥,19800,19950614,浙江,嘉兴市,www.csb.com.cn,daihl@csb.com.cn;zjx@csb.com.cn,841
47,300280.SZ,SZSE,姚小欣,古予舟,邱元超,16206.5744,20020321,江苏,南通市,www.ntdy.com.cn,ntdydsh@163.com,565
48,002791.SZ,SZSE,白宝鲲,白宝鲲,殷建忠,32154,20030626,广东,东莞市,www.kinlong.com,dsb@kinlong.com,10333
49,300013.SZ,SZSE,王雅军,谭平江,张瑜,44668.7115,19970224,江苏,苏州市,www.xinning.com.cn,jsxn@xinning.com.cn,3355
50,002334.SZ,SZSE,黄申力,黄申力,鄢光敏,75349.821,20020415,广东,深圳市,www.invt.com.cn,sec@invt.com.cn,3426
51,002220.SZ,SZSE,黄作庆,李宏泽,孙立涛,76648.0153,19970925,辽宁,大连市,www.cn-tianbao.com,zqhwang@cn-tianbao.com;planning@cn-tianbao.com;liuhuinan@cn-tianbao.com,1368
52,002299.SZ,SZSE,傅光明,傅芬芳,廖俊杰,124429.9512,19991221,福建,南平市,www.sunnercn.com,sncjh@sunnercn.com;snljj@sunnercn.com;snzlm@sunnercn.com,22507
53,300059.SZ,SZSE,其实,其实,陆威,671560.8655,20050120,上海,上海市,www.eastmoney.com,dongmi@eastmoney.com,4325
54,300061.SZ,SZSE,刘涛,廖石坚,刘涛,67691.4013,19961205,上海,上海市,www.kq300061.com,investor@kq300061.com,2811
55,300235.SZ,SZSE,黄元忠,张文凯,李枫,16783.109,19930219,广东,深圳市,www.kingsunedu.com,weiqian.nian@kingsunsoft.com;feng.li@kingsunsoft.com;kingsunsoft@kingsunsoft.com,227
56,300084.SZ,SZSE,窦剑文,窦剑文,和晓登,38476.5738,20001218,甘肃,兰州市,www.haimo.com.cn,securities@haimo.com.cn,1038
57,002444.SZ,SZSE,仇建平,仇建平,周思远,107524.77,20010809,浙江,杭州市,www.greatstartools.com,zq@greatstartools.com,6192
58,002492.SZ,SZSE,王青运,张辛聿,朱海花,40500,20001107,广东,珠海市,www.winbase-tank.com,zhaoyi@winbase-tank.com;zhuhaihua@winbase-tank.com;winbase@winbase-tank.com,513
59,002445.SZ,SZSE,王新立,赵宇,孙畅,138939.0631,20030528,江苏,无锡市,www.znhi.com.cn,znhi@znhi.com.cn;glx@znhi.com.cn,850
60,002213.SZ,SZSE,连松育,蒋晖,何强,20600,20001025,广东,深圳市,www.terca.cn,stock@terca.cn;terca@terca.cn;ns@terca.cn,197
61,002278.SZ,SZSE,李芳英,顾承宇,李芳英,36390.9648,19930715,上海,上海市,www.shenkai.com,shenkai@shenkai.com;skdb@shenkai.com,912
62,002469.SZ,SZSE,曲思秋,孙波,高勇,50326.2849,19941118,山东,淄博市,www.sdsunway.com.cn,gaoyong@sdsunway.com.cn;likesheng@sdsunway.com.cn;sdsunway@sdsunway.com.cn,464
63,002441.SZ,SZSE,吴开贤,吴森杰,张海娜,54460.2079,20000414,广东,汕头市,www.zyd.cn,stock@zyd.cn,3125
64,300637.SZ,SZSE,樊彬,李耀土,樊相东,23476.02,20021224,浙江,绍兴市,www.zjyfxc.com,yfxc@shoufuchem.com,709
65,300465.SZ,SZSE,于伟,程军,高源,44676.2257,20030411,北京,北京市,www.git.com.cn,securities@git.com.cn,2988
66,300809.SZ,SZSE,曹宇中,刘翔雄,徐彩英,15692,20070904,江苏,苏州市,www.hiecise.com,xucaiying@hiecise.com,430
67,002933.SZ,SZSE,戴岳,张建迪,李伟峰,11735,19970616,北京,北京市,www.eeae.com.cn,xxdf@eeae.com.cn;xxzbg@eeae.com.cn,258
68,300695.SZ,SZSE,孔爱祥,孔辰寰,付海兵,6667.77,20021128,浙江,杭州市,www.hzfb.com,stock@hzfb.com,642
69,002972.SZ,SZSE,郭丰明,张帆,农仲春,17632,19980730,广东,深圳市,www.keanda.com.cn,zhengquanbu@keanda.com.cn,286
70,300739.SZ,SZSE,张佩珂,孙文兵,蔡林生,27720,20010731,广东,深圳市,www.sunshinepcb.com,zqb@sunshinepcb.com;yangxiaoliang@sunshinepcb.com;cailinsheng@sunshinepcb.com,2209
71,002845.SZ,SZSE,万锋,万锋,宫臣,20278.7968,20040430,广东,深圳市,www.txdkj.com,gongc@txdkj.com;zqswdb@txdkj.com,5386
72,002447.SZ,SZSE,侯郁波,侯郁波,蒋蕾,142719.3,20010822,辽宁,大连市,www.morningstarnet.com,cxkj@morningstarnet.com,88
73,002459.SZ,SZSE,靳保芳,靳保芳,武廷栋,134167.537,20001020,河北,秦皇岛市,www.tianyetolian.com,ir@jasolar.com,647
74,002430.SZ,SZSE,蒋明,毛绍融,汪加林,96460.3777,20021218,浙江,杭州市,www.hangyang.com,investor@hangyang.com;gaocf@hangyang.com,4048
75,002284.SZ,SZSE,黄伟中,施兴龙,邱蓉,73760.7197,20001207,浙江,杭州市,www.apg.cn,qr@apg.cn;yqy@apg.cn;ytzq@apg.cn,3191
76,002276.SZ,SZSE,张珊珊,孙小红,赵宇恺,103548.9098,19961230,浙江,杭州市,www.wanma-cable.cn,investor@wanmagroup.com,4943
77,002282.SZ,SZSE,陈怀荣,庞博,井成铭,43773.8511,19981214,河北,石家庄市,www.bosuntools.com,bod@bosuntools.com,1766
78,002362.SZ,SZSE,刘迎建,刘昌平,朱德永,21698.9292,19980911,北京,北京市,www.hanwang.com.cn,zhudy@hanwang.com.cn;zhouyingyu@hanwang.com.cn,1532
79,002283.SZ,SZSE,邢运波,徐承飞,刘立,112755.3978,19951219,山东,威海市,www.tianrun.com,zhqb@tianrun.com;chfeng@tianrun.com;liuli@tianrun.com,3142
80,002226.SZ,SZSE,郭曙光,沈跃华,王敦福,124898.169,19981203,安徽,宣城市,www.ahjnhg.com,zhangds985@dunan.cn;ahjnhg@ahjnhg.com;zhouy69@dunan.cn;wangdf@dunan.cn,4069
81,002217.SZ,SZSE,文开福,陈贵生,金波,311641.622,20030430,福建,莆田市,www.holitech.net,jinbo@holitech.net;chenhaiyuan@holitech.net,27953
82,002434.SZ,SZSE,黄河清,顾勇亭,张雷刚,134000,20031022,浙江,金华市,www.zjwly.com,scu_jh@163.com;zlg@zjwly.com,5076
83,300069.SZ,SZSE,朱方文,朱方文,黄浩,11700,20030415,浙江,金华市,www.jlhdq.com,info@jlhdq.com;mulbilee@163.com;yellowhust@163.com,255
84,300067.SZ,SZSE,纪立军,纪立军,徐长进,93049.9272,19991019,上海,上海市,www.anoky.com.cn,investor@anoky.com.cn;xcj@anoky.com.cn,861
85,002435.SZ,SZSE,郁霞秋,陆一峰,卢斌,123598.302,19990909,江苏,苏州市,www.cjrfjx.com,lubin@cjrfjx.com;qiujiajun@cjrfjx.com;cjrf@vip.163.com;swynet@126.com,2889
86,002438.SZ,SZSE,韩力,吴建新,章其强,48575.6156,20010104,江苏,南通市,www.stfm.cn,zhangqq@stfm.cn;chenmd@stfm.cn,1378
87,300002.SZ,SZSE,王宁,冒大卫,胡加明,196109.1984,20010518,北京,北京市,www.ultrapower.com.cn,IRM@ultrapower.com.cn,3583
88,002277.SZ,SZSE,胡子敬,陈细和,陈学文,139417.28,20040607,湖南,长沙市,www.your-mart.cn,your.mart@hnmall.com;cxw5448@126.com;lemon1973@126.com,3992
89,002229.SZ,SZSE,毛伟,毛伟,李泽文,49834.4263,19990615,福建,福州市,www.hb-print.com.cn,hongbo-printing@hongbo.net.cn,1420
90,300001.SZ,SZSE,于德翔,屈东明,YINGTAO SUN,99757.0075,20040316,山东,青岛市,www.tgood.cn,ir@tgood.cn,5445
91,300004.SZ,SZSE,谭汉强,任刚,王娜,47999.3598,19990524,广东,佛山市,www.ntfan.com,investors@ntfan.com,1100
92,300005.SZ,SZSE,王静,王静,陶旭,89129.3904,19990111,北京,北京市,www.toread.com.cn,ir300005@toread.com.cn;tao.xu@toread.com.cn,1721
93,002504.SZ,SZSE,何宁,何宁,苗强,102580.0523,19980831,北京,北京市,www.honggao.com.cn,hgcy002504@126.com,433
94,002325.SZ,SZSE,刘年新,刘望,苏毅,124944.2021,19850114,广东,深圳市,www.szhongtao.cn,hongtao@szhongtao.cn;jianjinying@szhongtao.cn;suyi@szhongtao.cn,2340
95,002353.SZ,SZSE,孙伟杰,李志勇,张志刚,95785.3992,19991210,山东,烟台市,www.jereh.com,zqb@jereh.com,4431
96,002359.SZ,SZSE,陈岩,陈岩,王明鸽,108719.176,20020930,广东,深圳市,www.northcomgroup.com,irm@northcomgroup.cn,1342
97,002311.SZ,SZSE,薛华,薛华,黄志健,158035.7494,20040108,广东,广州市,www.haid.com.cn,zqbgs@haid.com.cn,17389
98,300017.SZ,SZSE,刘成彦,刘成彦,周丽萍,243401.5604,20000126,上海,上海市,www.wangsu.com,wangsudmb@wangsu.com,4122
99,300071.SZ,SZSE,陈曦,陈曦,朱文杰,67138.642,20030123,北京,北京市,www.spearhead.com.cn,investor@spearhead.com.cn,1781
100,300233.SZ,SZSE,赵叶青,张学波,朱晓刚,39315.2238,20040112,山东,淄博市,www.jinchengpharm.com,zhuxiaogang@300233.com;niyanli@300233.com;jcyyqf@163.com;jcpc@300233.com,2926
101,300025.SZ,SZSE,朱定楷,朱定楷,张艳,42853.0562,20030605,浙江,杭州市,www.hxcy.com.cn,hxcy_1@hxcy.com.cn,3140
102,002370.SZ,SZSE,陈尧根,陈尧根,沈依伊,53650.7786,20011231,浙江,绍兴市,www.ytyaoye.com,ytdsh@ytyaoye.com,1030
103,002326.SZ,SZSE,王莺妹,何人宝,张江山,87899.6469,19991011,浙江,台州市,www.yongtaitech.com,zhengquan@yongtaitech.com;jiangshan.zhang@yongtaitech.com,2966
104,002344.SZ,SZSE,张月明,张月明,孙宇民,128274.5046,19990225,浙江,嘉兴市,www.zgpgc.com,pgc@chinaleather.com,1332
105,002314.SZ,SZSE,田俊彦,王世云,蒋俊雅,270778.2513,20010430,广东,深圳市,www.xnskg.cn,nskg@xnskg.cn,4054
106,002293.SZ,SZSE,薛嘉琛,薛嘉琛,田霖,83060.7261,20020523,江苏,南通市,www.luolai.com.cn,ir@luolai.com.cn,3584
107,002323.SZ,SZSE,唐继勇,唐继勇,尤鸿志,74572.9656,20021021,江苏,盐城市,www.yabaite.com,dsb@yabaite.com;yhz200@yabaite.com;yhz62217220@163.com,378
108,300030.SZ,SZSE,邓冠华,邓冠华,倪桂英,30879.5815,19960819,广东,广州市,www.improve-medical.com,board@improve-medical.com;liulu@improve-medical.com,946
109,300247.SZ,SZSE,邢芬玲,邢芬玲,梁俊,80404.0313,19950421,安徽,合肥市,www.saunaking.com.cn,zhangwx@saunaking.com.cn;saunaking@saunaking.com.cn,1801
110,002328.SZ,SZSE,宋琳,郑伟强,李文君,76177,19971030,上海,上海市,www.xinpeng.com,xinpeng@xinpeng.com;xinpengstock@xinpeng.com,2400
111,300040.SZ,SZSE,李寅,赵晓红,李斌,34303.2004,19970808,黑龙江,哈尔滨市,www.jze.com.cn,stock@jze.com.cn,800
112,300585.SZ,SZSE,刘陆媛甜,傅宗朝,薛娟华,16000,20010621,江苏,南京市,www.njaolian.com,mail@njaolian.com,810
113,300563.SZ,SZSE,汤晓楠,汤晓楠,殷刘碗,8000,20030806,江苏,无锡市,www.shenyucable.com,sygf@shenyucable.com,367
114,300584.SZ,SZSE,曹于平,曹于平,陆晋,12000,20030115,江苏,南京市,www.hicin.cn,ir_hicin@163.com,557
115,300684.SZ,SZSE,吴晓宁,叶露,陈钰,25205.04,19970410,北京,北京市,www.jones-corp.com,info@jones-corp.com,592
116,002683.SZ,SZSE,郑炳旭,梁发,赵国文,70710.8951,19880514,广东,广州市,www.hdbp.com,hdbp@hdbp.com,4667
117,300555.SZ,SZSE,贾清,贾清,陶涛,20000,20070216,江苏,无锡市,www.lootom.com,lootom@lootom.com,448
118,002586.SZ,SZSE,殷航俊,殷航俊,冯婷婷,114422.3714,19880625,浙江,宁波市,www.zjwh.com.cn,ir@reclaimgroup.com.cn;ir@zjwh.com.cn,1630
119,002346.SZ,SZSE,陆仁军,蒋陆峰,郭加广,44157.5416,20020604,上海,上海市,www.ch-zzcc.com,guojg@ch-zzcc.com;tianyi@zhezhong.com,446
120,002318.SZ,SZSE,李郑周,李郑周,寿昊添,84153.7803,20040108,浙江,湖州市,www.jiuli.com,jlgf@jiuli.com,2856
121,002319.SZ,SZSE,周宇斌,周宇斌,郭蒙,20000,19961113,广东,珠海市,www.letongink.com,lt@letongink.com,338
122,300032.SZ,SZSE,黄磊,黄磊,黄磊,80316.9608,19931111,浙江,温州市,www.kotl.com.cn,hl@kotl.com.cn;zww@kotl.com.cn,8609
123,002529.SZ,SZSE,李良光,王琳,郑铭,26000,20030707,福建,福州市,www.haiyuan-group.com,hyjx@haiyuan-group.com,800
124,002352.SZ,SZSE,王卫,王卫,甘玲,441458.5265,20030522,广东,深圳市,www.sf-express.com,sfir@sf-express.com,135294
125,002317.SZ,SZSE,陈永红,陈永红,张玉冲,81446.1076,20011231,广东,东莞市,www.zspcl.com,zqb@zspcl.com,1801
126,300713.SZ,SZSE,尹伟,尹伟,邓琥,14343.75,20020424,广东,深圳市,www.szincrease.com,zjb@szincrease.com,477
127,300514.SZ,SZSE,崔涛,崔涛,沈正钊,20000,20020904,广东,深圳市,www.friendcom.com,yxd@friendcom.com,874
128,300708.SZ,SZSE,潘华荣,潘华荣,程飞龙,25991,20100408,江苏,苏州市,www.focuslightings.com,focus@focuslightings.com,1058
129,002849.SZ,SZSE,黄文谦,黄华兵,张妍,13251.505,20050829,浙江,杭州市,www.viewshine.cn,zqb@viewshine.cn;zhangyan@viewshine.cn;yanbingwei@viewshine.cn,655
130,300686.SZ,SZSE,刘炜,刘炜,方吉鑫,20446.4,20040726,广东,深圳市,www.szcdl.com,szcdl@szcdl.com;fjx@szcdl.com;zhi.yan@szcdl.com,2189
131,300771.SZ,SZSE,干德义,干德义,陈才玉,10000,19991105,广东,深圳市,www.szzhilai.com,zhilaikeji@zhilai.com,1918
132,002238.SZ,SZSE,郑鼎文,张育民,林杨,61735.32,19950718,广东,深圳市,www.topway.com.cn,linyang@topway.cn;do@topway.cn;jinqiao@szthm.com,2260
133,002247.SZ,SZSE,陈智剑,薄彬,魏晓静,85087.0049,20000118,浙江,杭州市,www.dilong.cc,dsh@dilong.cc,1833
134,002176.SZ,SZSE,梁云,梁云,闵银章,170632.5581,19950511,江西,宜春市,www.jiangte.com.cn,jiangte@jiangte.com.cn;wangl@jiangte.com.cn;minyz@jiangte.com.cn,4456
135,002237.SZ,SZSE,曲胜利,曲胜利,夏晓波,91040,19940218,山东,烟台市,www.hbyl.cn,xiaxiaobo@hbyl.cn;manage@hbyl.cn,5522
136,002230.SZ,SZSE,刘庆峰,刘庆峰,江涛,219857.5067,19991230,安徽,合肥市,www.iflytek.com,xunfei@iflytek.com;taojiang@iflytek.com;xmchang@iflytek.com,10970
137,002295.SZ,SZSE,卫国,卫国,吉天翊,25061.6,19990728,广东,佛山市,www.jingyimetal.com,jy@jingyimetal.com,660
138,002182.SZ,SZSE,梅小明,梅小明,吴剑飞,64642.2538,19931130,江苏,南京市,www.rsm.com.cn,fly@rsm.com.cn;yunhai@rsm.com.cn;bianyx@rsm.com.cn,3094
139,002184.SZ,SZSE,许泓,郭孟榕,吴秋农,24025.4489,19940315,上海,上海市,www.hite.com.cn,002184@hite.com.cn;wuqn@hite.com.cn;xiaql@hite.com.cn,981
140,002205.SZ,SZSE,李鸿杰,马军民,王出,11615.2018,20010830,新疆,乌鲁木齐市,www.xjgt.com,gtgf521@xjgt.com;gtgfgj@xjgt.com;gtgfwangchu@xjgt.com,1120
141,002198.SZ,SZSE,陈建宁,宋稚牛,徐胜利,50750.9848,20030307,广东,梅州市,gdjyzy.com.cn,gdjyzy@163.com,1021
142,002360.SZ,SZSE,张云升,邬庆文,邬庆文,39151.26,20010610,山西,忻州市,www.tondchem.com,td2@tondchem.com;tondwqw@tondchem.com;tdl@tondchem.com,1919
143,002179.SZ,SZSE,郭泽义,李森,刘阳,110090.7225,20021231,河南,洛阳市,www.jonhon.cn,liuyang@jonhon.cn;zhengquan@jonhon.cn,12612
144,002196.SZ,SZSE,顾一峰,张敏,牟健,46869.493,20011220,浙江,丽水市,www.fdm.com.cn,jian.mou@fdm.com.cn;liny.shu@fdm.com.cn,2406
145,002241.SZ,SZSE,姜滨,姜龙,贾军安,324510.3948,20010625,山东,潍坊市,www.goertek.com,ir@goertek.com,48652
146,002245.SZ,SZSE,陈锴,陈锴,林文华,98131.1778,20020930,江苏,苏州市,www.aucksun.com,secretary@aucksun.com;aucksun@aucksun.com,3115
147,002242.SZ,SZSE,王旭宁,杨宁宁,王旭宁,76731.2,20020708,山东,济南市,www.joyoung.com,joyoung@joyoung.com;002242@joyoung.com,2665
148,002177.SZ,SZSE,谭骅,谭骅,谭骅,76119.1294,20010426,广东,广州市,www.kingteller.com.cn,zqb@kingteller.com.cn,456
149,300792.SZ,SZSE,林振宇,林振宇,张帆,8000,20120406,浙江,杭州市,www.topwinchance.com,onechance@dajiaok.com;fangao@dajiaok.com,821
150,300642.SZ,SZSE,姚见儿,姚见儿,王小清,9081.747,20031106,上海,上海市,www.tellgen.com,info@tellgen.com,385
151,300812.SZ,SZSE,高军鹏,高军鹏,陈飞,7751.1683,20070214,广东,深圳市,www.etmade.com,IR@etmade.com.cn,518
152,300697.SZ,SZSE,冯岳军,冯岳军,沈国祥,20800,19850612,江苏,无锡市,www.cn-dghj.com,dghj@cn-dghj.com,495
153,300292.SZ,SZSE,万卫方,张建国,李勇,127485.0476,19990622,江苏,苏州市,www.cnwutong.com,wutong@cnwutong.com,1186
154,300729.SZ,SZSE,项乐宏,项乐宏,朱伟,8723.083,20020326,浙江,宁波市,www.loctek.com,law@loctek.com,1533
155,002706.SZ,SZSE,任思龙,陈平,程秋高,78501.591,19990107,上海,上海市,www.sh-liangxin.com,fangyan@sh-liangxin.com;chengqiugao@sh-liangxin.com,1973
156,002531.SZ,SZSE,严俊旭,严俊旭,吴淑红,177901.9047,20050118,江苏,苏州市,www.titanwind.com.cn,public@titanwind.com.cn;wangxinyu@titanwind.com.cn;wush@titanwind.com.cn,1254
157,300451.SZ,SZSE,葛航,张吕峥,胡燕,73975.1425,19971210,浙江,杭州市,www.bsoft.com.cn,bsoft@bsoft.com.cn;huy@bsoft.com.cn;xus@bsoft.com.cn,3057
158,002951.SZ,SZSE,李海坚,李海坚,温思凯,40500,20081224,四川,成都市,www.jinshigp.com,jszq@jinshigp.com,496
159,300237.SZ,SZSE,窦茂功,李荣华,李炜刚,145307.251,20041108,山东,潍坊市,www.meichen.cc,liweigang@meichen.cc;meichen@meichen.cc;zhangyunxia@meichen.cc,2684
160,300751.SZ,SZSE,周剑,王正根,刘琼,5200,20100908,江苏,苏州市,www.maxwell-gp.com,bod@maxwell-gp.com.cn;zqb@maxwell-gp.com.cn,772
161,300336.SZ,SZSE,杨震华,何君琦,汪烽,80623.0192,20041230,上海,上海市,www.ncmedia.com.cn,xinwenhua@ncmedia.com.cn,314
162,002881.SZ,SZSE,王平,王平,黄敏,18133.9,20070405,广东,深圳市,www.meigsmart.com,ir@meigsmart.com,1230
163,002800.SZ,SZSE,王普宇,王普宇,高翔,7468,20081210,新疆,乌鲁木齐市,www.xjtsscm.com,xjts@xjtsscm.com;1037276928@qq.com,231
164,002649.SZ,SZSE,王斌,马强,张志飞,52519.9734,19950417,北京,北京市,www.beyondsoft.com,IR@beyondsoft.com,15123
165,002816.SZ,SZSE,卢争驰,梁海华,王培鹏,10000,20090105,广东,深圳市,www.hkdholding.com,hkdir@hekeda.cn;hekedazqb@163.com,737
166,300256.SZ,SZSE,刘建勋,潘清寿,李伟敏,95793.6396,20030925,浙江,台州市,www.first-panel.com,irm@first-panel.com,8257
167,002868.SZ,SZSE,赖潭平,赖潭平,狄旸,12000,20030613,福建,南平市,www.pclifecome.com,lkshdm@pclifecome.com,526
168,002553.SZ,SZSE,史建伟,姜宗成,史维,34800,19980508,江苏,常州市,www.nf-bearings.com,zhengquanbu@nf-bearings.com;wei.shi@nf-bearings.com,943
